Q1. 下列哪个物理量的单位是牛顿？
A. 质量
B. 力
C. 速度
D. 温度
A: B

Q2. 声音在下列哪种介质中传播速度最快？
A. 空气
B. 水
C. 钢铁
D. 真空
A: C

Q3. 光在真空中的传播速度约为？
A. 3×10⁶ m/s
B. 3×10⁸ m/s
C. 3×10¹⁰ m/s
D. 3×10⁴ m/s
A: B

Q4. 下列关于力的说法正确的是？
A. 力可以改变物体的运动状态
B. 力可以改变物体的形状
C. 力是物体对物体的作用
D. 以上都正确
A: D

Q5. 下列哪种能源属于可再生能源？
A. 煤炭
B. 石油
C. 太阳能
D. 天然气
A: C

Q6. 以下关于惯性的说法，正确的是？
A. 静止的物体没有惯性
B. 运动速度越大，惯性越大
C. 物体在任何情况下都有惯性
D. 太空中物体没有惯性
A: C

Q7. 下列关于压强的说法正确的是？
A. 压力越大，压强一定越大
B. 受力面积越大，压强一定越大
C. 压强与压力成正比，与受力面积成反比
D. 压强与受力面积成正比
A: C

Q8. 下列哪种现象属于液化？
A. 冰融化成水
B. 水沸腾变成水蒸气
C. 水蒸气遇冷变成小水珠
D. 水凝固成冰
A: C

Q9. 下列关于电流的说法正确的是？
A. 电流方向与电子运动方向相同
B. 电流的单位是伏特
C. 电流是电荷的定向移动形成的
D. 绝缘体中没有任何电荷
A: C

Q10. 下列关于光的反射的说法正确的是？
A. 反射角大于入射角
B. 反射角等于入射角
C. 反射角小于入射角
D. 反射光线与入射光线无关
A: B

Q11. 下列哪个物理量是标量？
A. 速度
B. 力
C. 温度
D. 加速度
A: C

Q12. 在串联电路中，各处的电流？
A. 不相等
B. 相等
C. 逐渐减小
D. 逐渐增大
A: B

Q13. 下列关于重力的说法正确的是？
A. 重力方向总是垂直向下
B. 重力方向总是竖直向下
C. 重力在太空中变大
D. 质量越大重力越小
A: B

Q14. 下列哪个现象说明分子在不停地做无规则运动？
A. 雪花飞舞
B. 灰尘飞扬
C. 花香四溢
D. 水往低处流
A: C

Q15. 下列关于密度的说法正确的是？
A. 密度与质量成正比
B. 密度与体积成反比
C. 密度是物质的一种特性
D. 密度与温度无关
A: C

Q16. 下列哪种情况做功为零？
A. 用力推墙，墙不动
B. 举重运动员举起杠铃
C. 汽车沿水平路面行驶
D. 物体从高处自由下落
A: A

Q17. 下列关于浮力的说法正确的是？
A. 浮力方向竖直向下
B. 浮力大小与物体密度有关
C. 浮力大小与排开液体的重力相等
D. 沉底的物体不受浮力
A: C

Q18. 下列哪种材料是半导体？
A. 铜
B. 橡胶
C. 硅
D. 铁
A: C

Q19. 下列关于杠杆的说法正确的是？
A. 省力杠杆的动力臂小于阻力臂
B. 费力杠杆的动力臂大于阻力臂
C. 等臂杠杆既不省力也不费力
D. 杠杆只能是直的
A: C

Q20. 下列关于电磁铁的说法正确的是？
A. 电磁铁通电后有磁性
B. 电磁铁的磁性强弱与电流大小无关
C. 电磁铁的磁极方向不可改变
D. 电磁铁不需要通电
A: A

Q21. 以下关于热量的说法，正确的是？（多选）
A. 热量总是从高温物体传向低温物体
B. 热量是过程量
C. 物体温度越高，热量越多
D. 热传递的条件是存在温度差
A: A,B,D

Q22. 以下关于简单机械的说法，正确的是？（多选）
A. 定滑轮可以改变力的方向
B. 动滑轮可以省一半力
C. 斜面是一种简单机械
D. 使用滑轮组一定省力
A: A,B,C

Q23. 下列关于物态变化的说法，正确的是？（多选）
A. 升华吸热
B. 凝华放热
C. 汽化放热
D. 熔化吸热
A: A,B,D

Q24. 关于家庭电路，以下说法正确的是？（多选）
A. 家庭电路电压为220V
B. 开关应接在火线上
C. 保险丝熔断说明电路短路或过载
D. 三孔插座的接地线可有可无
A: A,B,C

Q25. 下列关于运动和静止的说法，正确的是？（多选）
A. 运动和静止是相对的
B. 参照物不同，物体的运动状态可能不同
C. 地球同步卫星相对于地面是静止的
D. 绝对静止的物体是存在的
A: A,B,C

Q26. 下列关于功率的说法，正确的是？（多选）
A. 功率表示做功的快慢
B. 功率越大，做功越快
C. 功率与时间无关
D. 功率的单位是瓦特
A: A,B,D

Q27. 下列关于电功和电功率的说法，正确的是？（多选）
A. 电功的单位是焦耳
B. 电功率的单位是瓦特
C. 电功率等于电功与时间的比值
D. 1千瓦时=1000焦耳
A: A,B,C

Q28. 下列关于机械能的说法，正确的是？（多选）
A. 动能和势能统称为机械能
B. 物体的动能与质量和速度有关
C. 重力势能与质量和高度有关
D. 机械能守恒定律适用于所有情况
A: A,B,C

Q29. 下列关于电阻的说法，正确的是？（多选）
A. 电阻是导体对电流的阻碍作用
B. 电阻大小与导体材料有关
C. 电阻大小与导体长度成正比
D. 电阻大小与横截面积成正比
A: A,B,C

Q30. 下列关于透镜的说法，正确的是？（多选）
A. 凸透镜对光有会聚作用
B. 凹透镜对光有发散作用
C. 近视眼镜是凹透镜
D. 远视眼镜是凸透镜
A: A,B,C,D

Q31. 一个物体做匀速直线运动，5s内通过20m的距离，则它的速度为___m/s。
A: 4

Q32. 一个质量为2kg的物体，所受重力为___N。（g取10N/kg）
A: 20

Q33. 标准大气压约为___Pa。
A: 1.013×10⁵（或101300或1.01×10⁵）

Q34. 1kW·h（度）=___J。
A: 3.6×10⁶（或3600000）

Q35. 声音在15℃的空气中传播速度约为___m/s。
A: 340

Q36. 水的密度为___kg/m³。
A: 1.0×10³（或1000）

Q37. 一个电阻两端电压为6V，通过的电流为0.3A，则此电阻的阻值为___Ω。
A: 20

Q38. 一个物体在10N的拉力作用下沿水平方向匀速移动了5m，拉力做功为___J。
A: 50

Q39. 家庭电路的电压为___V。
A: 220

Q40. 水的沸点在标准大气压下为___℃。
A: 100

Q41. 某导体两端电压为12V，通过它的电流为0.5A，则其电功率为___W。
A: 6

Q42. 一个滑轮组将重100N的物体提升2m，若不计摩擦和动滑轮重，拉力做功为___J。
A: 200

Q43. 光年是___（填物理量名称）的单位。
A: 长度（或距离）

Q44. 冰的熔点是___℃。
A: 0

Q45. 质量为0.5kg的物体，温度从20℃升高到30℃，吸收的热量为___J。（水的比热容为4.2×10³J/(kg·℃)）
A: 2.1×10⁴（或21000）

Q46. 串联电路中总电阻等于各分电阻之___。
A: 和

Q47. 并联电路中总电阻的倒数等于各分电阻的倒数之___。
A: 和

Q48. 一个标有"PZ220-40"的灯泡正常工作10h消耗的电能为___kW·h。
A: 0.4

Q49. 电流的单位是安培，符号是___。
A: A

Q50. 在国际单位制中，力的单位是___。
A: 牛顿（或N）

Q51. 下列关于电磁波的说法正确的是？
A. 电磁波不能在真空中传播
B. 电磁波的传播速度等于光速
C. 电磁波只能在空气中传播
D. 电磁波没有能量
A: B

Q52. 下列关于磁场和磁感线的说法正确的是？
A. 磁感线是真实存在的
B. 磁感线从N极出发回到S极
C. 磁感线可以相交
D. 磁场对放入其中的磁体有力的作用
A: D

Q53. 下列哪种方法可以增大摩擦力？
A. 减小接触面的粗糙程度
B. 在接触面间加润滑油
C. 增大压力
D. 减小压力
A: C

Q54. 下列关于比热容的说法正确的是？
A. 比热容越大的物体，升温越快
B. 比热容是物质的一种特性
C. 比热容与物体的质量有关
D. 比热容与温度变化有关
A: B

Q55. 在光的折射现象中，下列说法正确的是？
A. 折射角一定大于入射角
B. 折射角一定小于入射角
C. 光从水中斜射入空气时，折射角大于入射角
D. 折射光线与入射光线在同一侧
A: C

Q56. 下列关于动能的说法正确的是？
A. 速度大的物体动能一定大
B. 质量大的物体动能一定大
C. 动能与物体的质量和速度都有关
D. 静止的物体动能不为零
A: C

Q57. 下列关于电功率和电能的关系正确的是？
A. 电功率越大，消耗的电能越多
B. 电能越多，电功率越大
C. 消耗的电能与电功率和时间都有关
D. 电功率与时间无关
A: C

Q58. 以下关于声现象的说法正确的是？
A. 声音可以在真空中传播
B. 声音的音调与振幅有关
C. 声音的响度与频率有关
D. 声音是由物体振动产生的
A: D

Q59. 下列关于安全用电的说法正确的是？
A. 可以用湿手触摸电器开关
B. 发现有人触电应立即用手拉
C. 金属外壳的用电器要接地
D. 保险丝可以用铜丝代替
A: C

Q60. 下列哪种情况属于光的反射现象？
A. 小孔成像
B. 水中倒影
C. 海市蜃楼
D. 彩虹
A: B

Q61. 下列关于做功和能量转化的说法正确的是？（多选）
A. 做功的过程就是能量转化的过程
B. 功是能量转化的量度
C. 物体对外做功，内能一定增加
D. 外界对物体做功，物体的内能可能增加
A: A,B,D

Q62. 下列关于电路连接的说法正确的是？（多选）
A. 串联电路中开关控制整个电路
B. 并联电路中各支路互不影响
C. 马路上的路灯是并联的
D. 串联电路中各处电流相等
A: A,B,C,D

Q63. 下列关于内能的说法正确的是？（多选）
A. 一切物体都具有内能
B. 同一物体温度越高，内能越大
C. 改变内能的方式有做功和热传递
D. 0℃的冰没有内能
A: A,B,C

Q64. 下列关于凸透镜成像的说法正确的是？（多选）
A. 当物距大于2倍焦距时，成倒立缩小的实像
B. 当物距等于焦距时，不成像
C. 当物距小于焦距时，成正立放大的虚像
D. 实像可以用光屏承接
A: A,B,C,D

Q65. 下列关于阿基米德原理的说法正确的是？（多选）
A. 浮力大小等于排开液体的重力
B. 阿基米德原理适用于液体和气体
C. 浮力大小与物体形状无关
D. 浮力大小与物体密度有关
A: A,B,C

Q66. 下列关于能量守恒定律的说法正确的是？（多选）
A. 能量既不会凭空产生也不会凭空消失
B. 能量可以从一种形式转化为另一种形式
C. 永动机是可以实现的
D. 能量守恒定律适用于自然界中的一切过程
A: A,B,D

Q67. 下列关于欧姆定律的说法正确的是？（多选）
A. 导体中的电流与导体两端电压成正比
B. 导体中的电流与导体电阻成反比
C. 欧姆定律适用于所有导体
D. 公式I=U/R适用于金属导体
A: A,B,D

Q68. 下列关于液体压强的说法正确的是？（多选）
A. 液体内部向各个方向都有压强
B. 同种液体中，深度越大压强越大
C. 液体压强与液体密度有关
D. 液体压强与容器形状有关
A: A,B,C

Q69. 下列关于分子动理论的说法正确的是？（多选）
A. 物质由大量分子组成
B. 分子在永不停息地做无规则运动
C. 分子间同时存在引力和斥力
D. 温度越高分子运动越剧烈
A: A,B,C,D

Q70. 下列关于磁现象的说法正确的是？（多选）
A. 同名磁极相互排斥
B. 异名磁极相互吸引
C. 地磁场的N极在地理南极附近
D. 指南针能指南北是因为受到地磁场的作用
A: A,B,C,D

Q71. 功率是表示做功___的物理量。
A: 快慢

Q72. 力的三要素是大小、方向和___。
A: 作用点

Q73. 物体由于运动而具有的能叫做___。
A: 动能

Q74. 物质由固态直接变成气态的过程叫做___。
A: 升华

Q75. 串联电路的总电阻比任何一个分电阻都___。
A: 大

Q76. 物质从气态变成液态的过程叫做___。
A: 液化

Q77. 杠杆的平衡条件是：动力×动力臂=___×___。
A: 阻力×阻力臂

Q78. 在并联电路中，各支路两端的电压___。
